Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Strike_Out,Runs,Earned_Run,WHIP
류진욱,NC,3.92,43,3,2,19,0,43.667,36,5,18,34,22,19,1.24
김태훈,NC,3.95,12,0,0,0,0,13.667,9,2,10,6,9,6,1.39
신민혁,NC,4.32,17,5,3,0,0,81.333,87,12,17,49,43,39,1.28
전사민,NC,5.26,39,2,5,1,6,39.333,47,2,20,22,26,23,1.7
목지훈,NC,5.81,12,3,4,0,0,48.0,54,6,35,43,33,31,1.85
김재열,NC,6.1,21,0,0,0,2,20.667,30,4,14,14,15,14,2.13
최성영,NC,6.38,23,2,2,0,3,36.667,47,5,21,21,26,26,1.85
최우석,NC,7.36,3,0,0,0,0,3.667,6,0,3,2,5,3,2.45
김녹원,NC,7.47,11,0,2,0,1,31.333,32,3,26,20,27,26,1.85
신영우,NC,7.88,4,0,2,0,0,8.0,4,1,9,11,8,7,1.63
김시훈,NC,8.44,15,0,0,0,1,16.0,22,4,6,11,15,15,1.75
이준혁,NC,8.8,11,1,1,0,0,15.333,20,5,2,11,15,15,1.43
조민석,NC,9.82,1,0,1,0,0,3.667,1,1,4,1,4,4,1.36
김태현,NC,10.13,4,0,0,0,1,2.667,4,1,3,1,3,3,2.63
이용찬,NC,10.24,3,0,2,0,0,9.667,13,1,8,10,11,11,2.17
김민규,NC,12.0,6,0,0,0,1,3.0,5,0,3,1,4,4,2.67
김태경,NC,12.46,3,0,0,0,1,4.333,8,2,6,5,12,6,3.23
임상현,NC,18.0,1,0,0,0,0,1.0,2,0,3,0,2,2,5.0
주승우,키움,2.36,33,2,1,13,4,34.333,29,7,10,24,9,9,1.14
웰스,키움,3.21,3,1,1,0,0,14.0,13,0,2,12,5,5,1.07
로젠버그,키움,3.23,13,4,4,0,0,75.333,63,5,25,80,33,27,1.17
알칸타라,키움,3.86,8,3,2,0,0,49.0,58,7,6,41,23,21,1.31
원종현,키움,4.54,39,1,2,4,7,35.667,44,3,13,22,22,18,1.6
박윤성,키움,4.7,33,0,5,1,4,30.667,31,6,10,24,19,16,1.34
정현우,키움,4.81,8,2,4,0,0,39.333,43,2,26,26,30,21,1.75
하영민,키움,4.81,18,6,8,0,0,101.0,116,6,31,89,56,54,1.46
김성민,키움,5.14,25,0,2,0,1,21.0,20,1,12,13,14,12,1.52
박주성,키움,5.54,12,1,1,0,0,39.0,42,6,11,20,25,24,1.36
