Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Winning_Percentage,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Hit_By_Pitch,Strike_Out,Runs,Earned_Run,WHIP,Complete_Game,Shutout,Quality_Start,Blown_Save,Total_Batters_Faced,Number_Of_Pitching,Opponent_Batting_Average,2Base,3Base,Sacrifice_Bunt,Sacrifice_Fly,IBB,Wild_Pitch,Balk
우강훈,LG,3.09,14,1,0,0,0,1.0,11.667,11,0,8,6,10,6,4,1.63,0,0,0,0,57,225,0.256,1,0,0,0,0,2,0
우규민,KT,2.49,45,4,1,1,4,0.8,43.333,47,1,2,2,39,14,12,1.13,0,0,0,1,181,695,0.272,7,2,1,3,0,0,0
원상현,KT,7.03,22,2,5,0,1,0.286,65.333,105,6,31,2,59,54,51,2.08,0,0,1,0,324,1248,0.37,18,2,1,6,0,7,1
원종현,키움,4.91,4,0,0,0,0,,3.667,4,0,3,0,4,2,2,1.91,0,0,0,0,18,58,0.267,1,0,0,0,0,2,0
원태인,삼성,3.66,28,15,6,0,0,0.714,159.667,150,17,42,7,119,68,65,1.2,1,0,13,0,670,2693,0.245,29,3,6,2,1,3,0
윌커슨,롯데,3.84,32,12,8,0,0,0.6,196.667,210,18,27,2,167,90,84,1.21,1,1,18,0,816,3124,0.27,37,3,3,5,0,3,0
유승철,KIA,5.4,5,0,0,0,0,,5.0,3,0,7,0,4,3,3,2.0,0,0,0,0,23,102,0.188,1,0,0,0,0,2,0
유영찬,LG,2.97,62,7,5,26,1,0.583,63.667,61,2,30,3,77,24,21,1.43,0,0,0,6,286,1105,0.246,15,0,2,3,3,5,2
유지성,KIA,7.71,3,0,0,0,0,,2.333,5,1,0,1,3,4,2,2.14,0,0,0,0,14,51,0.385,0,0,0,0,0,0,0
육선엽,삼성,5.29,11,0,0,0,0,,17.0,19,3,17,2,11,11,10,2.12,0,0,0,0,87,355,0.284,2,0,0,1,0,1,0
육청명,KT,5.44,13,1,5,0,0,0.167,44.667,52,6,20,6,20,31,27,1.61,0,0,0,0,208,766,0.297,13,1,2,5,2,3,0
윤대경,한화,10.57,7,0,0,0,0,,7.667,10,1,6,1,7,9,9,2.09,0,0,0,0,40,149,0.345,3,0,0,4,1,0,0
윤석원,키움,11.42,11,0,1,0,0,0.0,17.333,31,3,7,2,1,24,22,2.19,0,0,0,0,88,321,0.413,11,0,1,3,0,3,1
윤성빈,롯데,45.0,1,0,1,0,0,0.0,1.0,4,1,2,0,1,5,5,6.0,0,0,0,0,9,35,0.571,1,0,0,0,0,0,0
윤영철,KIA,4.19,18,7,4,0,0,0.636,81.667,82,8,43,1,58,44,38,1.53,0,0,3,0,362,1444,0.263,14,1,5,1,0,1,0
윤정현,키움,9.0,2,0,0,0,0,,3.0,4,0,2,0,1,3,3,2.0,0,0,0,0,15,62,0.308,0,0,0,0,0,0,0
윤중현,KIA,13.94,11,0,0,0,0,,10.333,22,4,9,3,4,17,16,3.0,0,0,0,0,62,239,0.458,2,1,0,2,1,0,0
윤호솔,LG,4.15,7,0,0,0,0,,4.333,4,0,8,0,5,2,2,2.77,0,0,0,0,24,109,0.25,0,0,0,0,0,0,0
이건욱,SSG,11.37,10,1,2,0,0,0.333,19.0,34,5,15,2,17,25,24,2.58,0,0,0,0,106,445,0.386,4,0,0,1,0,3,0
이교훈,두산,7.39,33,1,1,0,1,0.5,35.333,43,7,17,2,27,32,29,1.7,0,0,0,0,166,653,0.297,11,1,2,0,0,0,0
이기순,SSG,3.66,10,1,1,0,0,0.5,19.667,12,2,23,1,24,10,8,1.78,0,0,0,0,94,423,0.174,1,0,1,0,0,1,0
이로운,SSG,5.95,63,1,3,1,9,0.25,56.0,67,4,43,3,41,43,37,1.96,0,0,0,1,277,1138,0.3,9,2,3,5,4,3,0
이명종,키움,8.18,10,0,1,0,0,0.0,11.0,20,4,5,0,4,10,10,2.27,0,0,0,0,58,219,0.408,2,0,1,3,1,1,0
이민석,롯데,7.26,18,0,2,0,1,0.0,31.0,38,3,25,2,20,27,25,2.03,0,0,0,0,153,627,0.302,5,3,0,0,0,1,0
이민우,한화,3.76,64,2,1,1,10,0.667,55.0,56,5,23,1,49,25,23,1.44,0,0,0,2,235,989,0.277,10,2,4,5,0,1,0
이믿음,LG,15.75,1,0,1,0,0,0.0,4.0,11,0,4,0,2,7,7,3.75,0,0,0,0,27,96,0.478,2,0,0,0,0,0,0
이병헌,두산,2.89,77,6,1,1,22,0.857,65.333,61,3,34,3,57,25,21,1.45,0,0,0,1,285,1173,0.256,7,1,4,6,1,2,1
